test,root_method_count,root_methods,critical_candidate_count,critical_tested_lines,critical_success_lines,minimization_counts,boundary_point,barrier_point,barrier_threshold,barrier_recorded_sec,barrier_trace_start_line,barrier_method_start_line,barrier_candidate_count,barrier_success_rank
"info.archinnov.achilles.it.TestDSLSimpleEntity#should_dsl_select_with_token_value",1,"info/archinnov/achilles/embedded/ServerStarter#lambda$start$0",6,"156;159;162;163;164;165","159;162;163","","info/archinnov/achilles/embedded/ServerStarter#159~info/archinnov/achilles/embedded/ServerStarter#163[25600]","com.datastax.driver.core.ControlConnection#207","1","1369.879028767","232","192","26","26"
"org.apache.uniffle.common.rpc.GrpcServerTest#testGrpcExecutorPool",1,"org/apache/uniffle/common/rpc/GrpcServer$GrpcThreadPoolExecutor#afterExecute",0,"","","","org/apache/uniffle/common/rpc/GrpcServer$GrpcThreadPoolExecutor#177~org/apache/uniffle/common/rpc/GrpcServer$GrpcThreadPoolExecutor#177[100]","0","1","FALSE","","","",""
