test,status,repair_outcome,stage1_sec,root_method_sec,critical_line_sec,stage2_total_sec,barrier_sec,total_sec,completed_at,run_directory
"uk.co.flax.luwak.matchers.TestPartitionMatcher#testParallelSlowLog",STAGE1_FAILED,UNKNOWN,36.421,,,,,36.435,"2026-09-01T15:40:59Z","/home/java8-flakesync/experiment_results/separated_stage2_timing/runs/uk.co.flax.luwak.matchers.TestPartitionMatcher_testParallelSlowLog/20260901T154023Z"
"delight.nashornsandbox.TestGetFunction#test",STAGE2_FAILED,UNKNOWN,178.827,,,25.037,,203.878,"2026-09-01T16:55:23Z","/home/java8-flakesync/experiment_results/separated_stage2_timing/runs/delight.nashornsandbox.TestGetFunction_test/20260901T165159Z"
"delight.nashornsandbox.TestGetFunction#test",COMPLETED,REPAIRED,130.006,64.696,190.084,254.832,101.922,486.789,"2026-09-01T17:09:20Z","/home/java8-flakesync/experiment_results/separated_stage2_timing/runs/delight.nashornsandbox.TestGetFunction_test/20260901T170113Z"
"com.github.davidmoten.rx2.FlowablesTest#testCache",COMPLETED,REPAIRED,198.839,56.802,64.412,121.262,120.663,440.796,"2026-09-01T17:21:58Z","/home/java8-flakesync/experiment_results/separated_stage2_timing/runs/com.github.davidmoten.rx2.FlowablesTest_testCache/20260901T171437Z"
